"거래구분별(1)","투자자별(1)",투자자별(2),2023.09,2023.10,2023.11,2023.12,2024.01,2024.02
"거래량","총거래량",매도 (천주),7811491,9781368,9185594,8540895,12212551,10029663
"거래량","총거래량",매수 (천주),7811491,9781368,9185594,8540895,12212551,10029663
"거래량","총거래량",순매수 (천주),0,0,0,0,0,0
"거래량","금융투자",매도 (천주),214419,222679,168465,153914,268647,228553
"거래량","금융투자",매수 (천주),235317,245261,237412,231306,240371,272371
"거래량","금융투자",순매수 (천주),20899,22582,68947,77392,-28276,43818
"거래량","보험",매도 (천주),18546,23073,26164,28021,22853,29332
"거래량","보험",매수 (천주),20844,18266,22923,26896,29702,25251
"거래량","보험",순매수 (천주),2298,-4807,-3241,-1125,6849,-4081
"거래량","투자신탁",매도 (천주),66468,54686,61565,83340,71893,85495
"거래량","투자신탁",매수 (천주),58001,48453,65165,72192,72350,87008
"거래량","투자신탁",순매수 (천주),-8467,-6233,3600,-11148,458,1514
"거래량","사모펀드",매도 (천주),47861,52416,45624,44745,53929,75302
"거래량","사모펀드",매수 (천주),42494,41142,44415,43834,48665,72706
"거래량","사모펀드",순매수 (천주),-5367,-11274,-1209,-911,-5263,-2596
"거래량","은행",매도 (천주),2261,5627,2734,5035,38561,4076
"거래량","은행",매수 (천주),1585,2961,5229,1347,2410,3881
"거래량","은행",순매수 (천주),-677,-2666,2495,-3688,-36151,-195
"거래량","기타금융",매도 (천주),5080,5869,3465,7425,6711,5007
"거래량","기타금융",매수 (천주),3169,2143,3259,3642,6848,5670
"거래량","기타금융",순매수 (천주),-1911,-3726,-206,-3783,137,663
"거래량","연기금 등",매도 (천주),238718,233419,239891,221355,319424,297672
"거래량","연기금 등",매수 (천주),234939,222986,228770,234132,315384,315796
"거래량","연기금 등",순매수 (천주),-3779,-10433,-11121,12777,-4040,18124
"거래량","기관합계",매도 (천주),593352,597769,547907,543835,782018,725438
"거래량","기관합계",매수 (천주),596348,581212,607172,613349,715731,782684
"거래량","기관합계",순매수 (천주),2996,-16557,59264,69513,-66286,57246
"거래량","기타법인",매도 (천주),84714,72645,91504,117591,100838,136807
"거래량","기타법인",매수 (천주),67060,67910,76524,97871,78151,99724
"거래량","기타법인",순매수 (천주),-17654,-4735,-14980,-19720,-22687,-37083
"거래량","개인",매도 (천주),5768666,7470624,7078233,6614258,9520596,7414958
"거래량","개인",매수 (천주),5829916,7544720,6974730,6543799,9564854,7247304
"거래량","개인",순매수 (천주),61250,74095,-103502,-70458,44258,-167655
"거래량","외국인",매도 (천주),1346023,1614581,1442888,1241833,1774439,1726010
"거래량","외국인",매수 (천주),1299201,1560292,1501472,1261149,1818421,1875147
"거래량","외국인",순매수 (천주),-46822,-54289,58585,19316,43982,149137
"거래량","기타외국인",매도 (천주),18735,25748,25062,23378,34660,26450
"거래량","기타외국인",매수 (천주),18965,27234,25695,24727,35394,24805
"거래량","기타외국인",순매수 (천주),230,1486,633,1349,733,-1646
"거래대금","총거래대금",매도 (백만원),158421525,159349717,180854956,176460785,195246937,215351679
"거래대금","총거래대금",매수 (백만원),158421525,159349717,180854956,176460785,195246937,215351679
"거래대금","총거래대금",순매수 (백만원),0,0,0,0,0,0
"거래대금","금융투자",매도 (백만원),8497802,9022700,7067233,5808049,9062614,9527720
"거래대금","금융투자",매수 (백만원),9532271,10098521,10607455,10222445,6948503,10632155
"거래대금","금융투자",순매수 (백만원),1034469,1075821,3540222,4414396,-2114110,1104435
"거래대금","보험",매도 (백만원),1020932,1028545,1241037,1411849,1159635,1504881
"거래대금","보험",매수 (백만원),859233,938508,1250242,1261668,1242407,1214626
"거래대금","보험",순매수 (백만원),-161699,-90037,9205,-150181,82772,-290255
"거래대금","투자신탁",매도 (백만원),2850251,2324602,2833844,3441320,3318129,3913785
"거래대금","투자신탁",매수 (백만원),2860659,2296636,2958714,3545344,2965131,3757988
"거래대금","투자신탁",순매수 (백만원),10408,-27966,124870,104024,-352998,-155797
"거래대금","사모펀드",매도 (백만원),2229526,2187908,2132898,2111689,2351845,3141123
"거래대금","사모펀드",매수 (백만원),2121525,1995330,2149957,2045995,1949111,3014235
"거래대금","사모펀드",순매수 (백만원),-108001,-192578,17059,-65694,-402734,-126887
"거래대금","은행",매도 (백만원),77668,186854,83143,142322,2795396,166972
"거래대금","은행",매수 (백만원),73198,86236,147906,58064,119762,120964
"거래대금","은행",순매수 (백만원),-4470,-100618,64764,-84258,-2675634,-46009
"거래대금","기타금융",매도 (백만원),95238,211157,131176,337152,200165,257329
"거래대금","기타금융",매수 (백만원),72517,82822,128137,132837,128462,182619
"거래대금","기타금융",순매수 (백만원),-22720,-128334,-3039,-204315,-71704,-74710
